x_m,y_m,distance_m,mean_diameter_m,cvar_diameter_m,composite_m,cost_s
715,580,920.6655202,36.62306125,45.52062895,41.0718451,270.4226325
715,585,923.8235762,36.67665376,45.48246272,41.07955824,271.0695096
715,590,926.9978425,36.73200165,45.44782649,41.08991407,271.7248591
715.0050645,-593.3195827,929.11806,36.71746509,45.42711318,41.07228913,272.1140193
715.0050645,-497.8551403,871.2588496,35.9939346,46.74728467,41.37060964,261.1326141
715.0050645,497.8551403,871.2588496,36.03769353,46.74728467,41.3924891,261.175918
715.0050645,593.3195827,929.11806,36.76996611,45.42711318,41.09853964,272.1659744
717.4145939,-596.3606398,932.9146329,36.87819228,45.5875478,41.23287004,273.1911561
717.4145939,-496.4073489,872.4127209,36.13931808,46.99533952,41.5673288,261.7527356
717.4145939,496.4073489,872.4127209,36.18498045,46.99533952,41.59015998,261.7979231
717.4145939,596.3606398,932.9146329,36.93279531,45.5875478,41.26017155,273.2451913
719.8241233,-599.3776327,936.6964904,37.03868323,45.74821256,41.3934479,274.2653438
719.8241233,-494.9595576,873.5741137,36.2866392,47.24595226,41.76629573,262.3788101
719.8241233,494.9595576,873.5741137,36.33422256,47.24595226,41.79008741,262.4258987
719.8241233,599.3776327,936.6964904,37.0953457,45.74821256,41.42177913,274.3214171
720,-595,934.0369372,36.9990025,45.78852329,41.3937629,273.7340566
720,-590,930.8598176,36.94466971,45.82287623,41.38377297,273.0788606
720,-585,927.6987658,36.89207953,45.86072446,41.376402,272.4320616
720,-580,924.5539465,36.84127422,45.90215855,41.37171639,271.793824
720,-575,921.425526,36.79229748,45.94727222,41.36978485,271.164317
720,-570,918.3136719,36.74519454,45.99616252,41.37067853,270.5437149
720,-565,915.2185531,36.70001225,46.04892993,41.37447109,269.9321974
720,-560,912.1403401,36.65679913,46.10567854,41.38123883,269.3299495
720,-555,909.0792045,36.61560544,46.16651621,41.39106082,268.7371621
720,-550,906.0353194,36.57639097,46.23155473,41.40397285,268.1539406
720,-545,903.0088593,36.53925418,46.30091002,41.4200821,267.5805321
720,-540,900,36.50429965,46.37470231,41.43950098,267.0171941
720,-535,897.0089186,36.47158542,46.45305634,41.46232088,266.4641431
720,-530,894.0357935,36.44114578,46.5361016,41.48862369,265.9215767
720,-525,891.0808044,36.41306927,46.6239725,41.51852089,265.3897515
720,-520,888.1441324,36.38741632,46.71680867,41.5521125,264.8689017
720,-515,885.2259599,36.36420803,46.81475518,41.5894816,264.3592282
720,-510,882.3264702,36.34356662,46.91796279,41.6307647,263.861038
720,-505,879.4458482,36.32556532,47.0265883,41.67607681,263.3745954
720,-500,876.58428,36.31028034,47.14079478,41.72553756,262.9001747
720,-495,873.7419528,36.29779101,47.26075192,41.77927146,262.4380595
720,495,873.7419528,36.34552142,47.26075192,41.80313667,262.4852936
720,500,876.58428,36.35822664,47.14079478,41.74951071,262.9476224
720,505,879.4458482,36.37373851,47.0265883,41.70016341,263.4222677
720,510,882.3264702,36.39197745,46.91796279,41.65497012,263.9089454
720,515,885.2259599,36.41286702,46.81475518,41.6138111,264.4073813
720,520,888.1441324,36.43633377,46.71680867,41.57657122,264.9173105
720,525,891.0808044,36.46230708,46.6239725,41.54313979,265.4384773
720,530,894.0357935,36.49071903,46.5361016,41.51341032,265.9706344
720,535,897.0089186,36.52150428,46.45305634,41.48728031,266.5135429
720,540,900,36.55459992,46.37470231,41.46465112,267.0669714
720,545,903.0088593,36.58994538,46.30091002,41.4454277,267.6306962
720,550,906.0353194,36.62748231,46.23155473,41.42951852,268.2045007
720,555,909.0792045,36.66715447,46.16651621,41.41683534,268.7881751
720,560,912.1403401,36.70890765,46.10567854,41.4072931,269.3815162
720,565,915.2185531,36.75268957,46.04892993,41.40080975,269.984327
720,570,918.3136719,36.79844977,45.99616252,41.39730615,270.5964164
720,575,921.425526,36.84613957,45.94727222,41.3967059,271.2175992
720,580,924.5539465,36.89571197,45.90215855,41.39893526,271.8476956
720,585,927.6987658,36.94712157,45.86072446,41.40392301,272.4865313
720,590,930.8598176,37.0003245,45.82287623,41.41160037,273.1339367
720,595,934.0369372,37.05526478,45.78852329,41.42189403,273.7897339
722.2336527,-602.370908,940.4638004,37.19889651,45.90909673,41.55399662,275.3365644
